,n,k,tim_sort_time
0,1,0,0
1,11,0,0
2,21,0,15625000
3,31,0,15625000
4,41,0,31250000
5,51,0,46875000
6,61,0,46875000
7,71,0,62500000
8,81,0,78125000
9,91,0,78125000
10,1,1,0
11,11,1,0
12,21,1,15625000
13,31,1,15625000
14,41,1,31250000
15,51,1,46875000
16,61,1,46875000
17,71,1,62500000
18,81,1,78125000
19,91,1,93750000
20,1,2,0
21,11,2,0
22,21,2,0
23,31,2,15625000
24,41,2,31250000
25,51,2,31250000
26,61,2,46875000
27,71,2,62500000
28,81,2,62500000
29,91,2,78125000
30,1,3,0
31,11,3,0
32,21,3,0
33,31,3,15625000
34,41,3,15625000
35,51,3,31250000
36,61,3,46875000
37,71,3,46875000
38,81,3,62500000
39,91,3,62500000
40,1,4,0
41,11,4,0
42,21,4,0
43,31,4,15625000
44,41,4,15625000
45,51,4,31250000
46,61,4,31250000
47,71,4,46875000
48,81,4,62500000
49,91,4,46875000
50,1,5,0
51,11,5,0
52,21,5,0
53,31,5,0
54,41,5,15625000
55,51,5,31250000
56,61,5,31250000
57,71,5,31250000
58,81,5,46875000
59,91,5,62500000
60,1,6,0
61,11,6,0
62,21,6,0
63,31,6,15625000
64,41,6,15625000
65,51,6,15625000
66,61,6,31250000
67,71,6,31250000
68,81,6,46875000
69,91,6,46875000
70,1,7,0
71,11,7,0
72,21,7,0
73,31,7,15625000
74,41,7,15625000
75,51,7,15625000
76,61,7,31250000
77,71,7,31250000
78,81,7,46875000
79,91,7,46875000
80,1,8,0
81,11,8,0
82,21,8,0
83,31,8,0
84,41,8,15625000
85,51,8,15625000
86,61,8,31250000
87,71,8,31250000
88,81,8,46875000
89,91,8,46875000
90,1,9,0
91,11,9,0
92,21,9,0
93,31,9,0
94,41,9,15625000
95,51,9,15625000
96,61,9,31250000
97,71,9,31250000
98,81,9,46875000
99,91,9,46875000
100,1,10,0
101,11,10,0
102,21,10,0
103,31,10,0
104,41,10,15625000
105,51,10,15625000
106,61,10,31250000
107,71,10,31250000
108,81,10,31250000
109,91,10,31250000
110,1,11,0
111,11,11,0
112,21,11,0
113,31,11,0
114,41,11,15625000
115,51,11,15625000
116,61,11,31250000
117,71,11,31250000
118,81,11,46875000
119,91,11,46875000
120,1,12,0
121,11,12,0
122,21,12,0
123,31,12,0
124,41,12,15625000
125,51,12,15625000
126,61,12,31250000
127,71,12,31250000
128,81,12,31250000
129,91,12,46875000
130,1,13,0
131,11,13,0
132,21,13,0
133,31,13,0
134,41,13,15625000
135,51,13,15625000
136,61,13,31250000
137,71,13,31250000
138,81,13,46875000
139,91,13,46875000
140,1,14,0
141,11,14,0
142,21,14,0
143,31,14,0
144,41,14,15625000
145,51,14,15625000
146,61,14,31250000
147,71,14,31250000
148,81,14,46875000
149,91,14,46875000
150,1,15,0
151,11,15,0
152,21,15,0
153,31,15,0
154,41,15,15625000
155,51,15,15625000
156,61,15,31250000
157,71,15,31250000
158,81,15,46875000
159,91,15,31250000
160,1,16,0
161,11,16,0
162,21,16,0
163,31,16,0
164,41,16,15625000
165,51,16,15625000
166,61,16,31250000
167,71,16,31250000
168,81,16,46875000
169,91,16,46875000
170,1,17,0
171,11,17,0
172,21,17,0
173,31,17,0
174,41,17,15625000
175,51,17,15625000
176,61,17,31250000
177,71,17,31250000
178,81,17,46875000
179,91,17,46875000
180,1,18,0
181,11,18,0
182,21,18,0
183,31,18,0
184,41,18,15625000
185,51,18,15625000
186,61,18,31250000
187,71,18,31250000
188,81,18,31250000
189,91,18,46875000
190,1,19,0
191,11,19,0
192,21,19,0
193,31,19,0
194,41,19,15625000
195,51,19,15625000
196,61,19,15625000
197,71,19,31250000
198,81,19,46875000
199,91,19,46875000
200,1,20,0
201,11,20,0
202,21,20,0
203,31,20,15625000
204,41,20,15625000
205,51,20,15625000
206,61,20,31250000
207,71,20,31250000
208,81,20,46875000
209,91,20,46875000
210,1,21,0
211,11,21,0
212,21,21,0
213,31,21,15625000
214,41,21,15625000
215,51,21,15625000
216,61,21,31250000
217,71,21,31250000
218,81,21,46875000
219,91,21,46875000
220,1,22,0
221,11,22,0
222,21,22,0
223,31,22,0
224,41,22,15625000
225,51,22,15625000
226,61,22,31250000
227,71,22,31250000
228,81,22,46875000
229,91,22,46875000
230,1,23,0
231,11,23,0
232,21,23,0
233,31,23,15625000
234,41,23,15625000
235,51,23,15625000
236,61,23,31250000
237,71,23,31250000
238,81,23,46875000
239,91,23,46875000
240,1,24,0
241,11,24,0
242,21,24,0
243,31,24,15625000
244,41,24,15625000
245,51,24,15625000
246,61,24,31250000
247,71,24,31250000
248,81,24,46875000
249,91,24,46875000
250,1,25,0
251,11,25,0
252,21,25,0
253,31,25,0
254,41,25,15625000
255,51,25,15625000
256,61,25,15625000
257,71,25,31250000
258,81,25,46875000
259,91,25,46875000
260,1,26,0
261,11,26,0
262,21,26,0
263,31,26,0
264,41,26,15625000
265,51,26,15625000
266,61,26,31250000
267,71,26,31250000
268,81,26,31250000
269,91,26,46875000
270,1,27,0
271,11,27,0
272,21,27,0
273,31,27,0
274,41,27,15625000
275,51,27,15625000
276,61,27,31250000
277,71,27,31250000
278,81,27,46875000
279,91,27,46875000
280,1,28,0
281,11,28,0
282,21,28,0
283,31,28,0
284,41,28,15625000
285,51,28,15625000
286,61,28,31250000
287,71,28,31250000
288,81,28,46875000
289,91,28,62500000
290,1,29,0
291,11,29,0
292,21,29,0
293,31,29,0
294,41,29,15625000
295,51,29,15625000
296,61,29,15625000
297,71,29,31250000
298,81,29,46875000
299,91,29,46875000
300,1,30,0
301,11,30,0
302,21,30,0
303,31,30,15625000
304,41,30,15625000
305,51,30,31250000
306,61,30,31250000
307,71,30,31250000
308,81,30,46875000
309,91,30,46875000
310,1,31,0
311,11,31,0
312,21,31,0
313,31,31,0
314,41,31,15625000
315,51,31,15625000
316,61,31,15625000
317,71,31,15625000
318,81,31,46875000
319,91,31,46875000
320,1,32,0
321,11,32,0
322,21,32,0
323,31,32,15625000
324,41,32,15625000
325,51,32,15625000
326,61,32,31250000
327,71,32,31250000
328,81,32,46875000
329,91,32,62500000
330,1,33,0
331,11,33,0
332,21,33,0
333,31,33,0
334,41,33,15625000
335,51,33,31250000
336,61,33,31250000
337,71,33,31250000
338,81,33,46875000
339,91,33,46875000
340,1,34,0
341,11,34,0
342,21,34,0
343,31,34,15625000
344,41,34,15625000
345,51,34,15625000
346,61,34,31250000
347,71,34,31250000
348,81,34,46875000
349,91,34,46875000
350,1,35,0
351,11,35,0
352,21,35,0
353,31,35,15625000
354,41,35,15625000
355,51,35,15625000
356,61,35,31250000
357,71,35,46875000
358,81,35,31250000
359,91,35,62500000
360,1,36,0
361,11,36,0
362,21,36,0
363,31,36,15625000
364,41,36,15625000
365,51,36,15625000
366,61,36,46875000
367,71,36,46875000
368,81,36,46875000
369,91,36,31250000
370,1,37,0
371,11,37,0
372,21,37,0
373,31,37,15625000
374,41,37,15625000
375,51,37,31250000
376,61,37,31250000
377,71,37,46875000
378,81,37,46875000
379,91,37,46875000
380,1,38,0
381,11,38,0
382,21,38,0
383,31,38,15625000
384,41,38,15625000
385,51,38,31250000
386,61,38,31250000
387,71,38,46875000
388,81,38,46875000
389,91,38,62500000
390,1,39,0
391,11,39,0
392,21,39,0
393,31,39,15625000
394,41,39,15625000
395,51,39,15625000
396,61,39,31250000
397,71,39,46875000
398,81,39,46875000
399,91,39,46875000
